ID,Restaurant,Address,Time,Price,District
1487,Bún Thái & Ăn Vặt - Tuệ Tĩnh,"90/16G Tuệ Tĩnh, P. 13, Quận 11, TP. HCM",00:00 - 23:59,40.000 - 50.000,Quận 11
1488,Hạnh Dung - Ẩm Thực Chay Mặn,"111 - 113 Âu Cơ, P. 14, Quận 11, TP. HCM",07:00 - 21:30,25.000 - 55.000,Quận 11
1489,Cơm Gà Rút Xương Chiên Xù & Hamburger 1454,"1454 Đường 3 Tháng 2, P. 2, Quận 11, TP. HCM",06:39 - 18:45,30.000 - 65.000,Quận 11
1490,Bún Bò Hương Thanh - Lạc Long Quân,"212 Lạc Long Quân, P. 10, Quận 11, TP. HCM",,30.000 - 50.000,Quận 11
1491,The Kebab Company,"319 - B16 Lý Thường Kiệt, P. 15, Quận 11, TP. HCM",,35.000 - 50.000,Quận 11
1492,Hủ Tiếu Nam Vang Thảo Lưu,"27/98 Lý Nam Đế, P. 7, Quận 11, TP. HCM",,3.000 - 62.000,Quận 11
1493,Bánh Bao Hiệp Phát - Minh Phụng,"458 Minh Phụng, P. 9, Quận 11, TP. HCM",07:00 - 21:30,15.000 - 33.000,Quận 11
1494,Papa Lee’s Noodle - Mì Hoành Thánh (Wonton Noodle) - Tôn Thất Hiệp,"150 Tôn Thất Hiệp, P. 13, Quận 11, TP. HCM",06:45 - 21:30,15.000 - 80.000,Quận 11
1495,Hủ Tiếu Nam Vang Hoà Thuận,"6 Dương Đình Nghệ, P. 8, Quận 11, TP. HCM",06:00 - 21:00,10.000 - 99.000,Quận 11
1496,Bò Bít Tết Lữ Gia,"1/104 Cư Xá Lữ Gia, P. 15, Quận 11, TP. HCM",,45.000 - 50.000,Quận 11
1497,Mì Ý Mẹ Ri,"36A/11 Đường 762 Hồng Bàng, P. 1, Quận 11, TP. HCM",,5.000 - 20.000,Quận 11
1498,Bánh Mì Chay KHÔI - Lý Thường Kiệt,"207 Lý Thường Kiệt, P. 7, Quận 11, TP. HCM",06:00 - 21:00,19.000 - 25.000,Quận 11
1499,Cơm Chay Pháp Hạnh,"45C Bình Thới, Quận 11, TP. HCM",06:30 - 19:30,15.000 - 25.000,Quận 11
1500,Bánh Mì Ơi - 64 Lữ Gia,"64 Lữ Gia, P. 15, Quận 11, TP. HCM",07:00 - 20:00,15.000 - 45.000,Quận 11
1501,Dương Thuyền - Bún Cá Sa Tế,"7/3 Tôn Thất Hiệp, Quận 11, TP. HCM",06:00 - 15:00,25.000 - 30.000,Quận 11
1502,Bánh Su Kem - Lạc Long Quân,"339D Lạc Long Quân, P. 5, Quận 11, TP. HCM",07:00 - 21:00,20.000 - 40.000,Quận 11
1503,Phở Nguyên - Phở Hà Nội - Lạc Long Quân,"431 Lạc Long Quân, P. 5, Quận 11, TP. HCM",00:00 - 23:59,30.000 - 75.000,Quận 11
1504,Vịt Quay Ngọc Trân,"168 Tạ Uyên, P. 6, Quận 11, TP. HCM",05:00 - 20:00,10.000 - 500.000,Quận 11
1505,Bún Bò Huế Gia Hội - Lữ Gia,"14A Đường số 2 Cư Xá Lữ Gia, P.15, Quận 11, TP. HCM",07:00 - 22:00,20.000 - 55.000,Quận 11
1506,3 Râu - Gà Rán Pizza & Trà Sữa - Minh Phụng,"293 Minh Phụng, P. 2, Quận 11, TP. HCM",07:00 - 22:00,0 - 0,Quận 11
1507,Cháo Sườn Bomni - Tuệ Tĩnh,"81 Tuệ Tĩnh, P. 13, Quận 11, TP. HCM",05:30 - 18:00,20.000 - 30.000,Quận 11
1508,LaoBa - Mì Cay Trộn Cấp Độ - Trần Quý,"52A Trần Quý, P. 6, Quận 11, TP. HCM",07:40 - 20:00,0 - 0,Quận 11
1509,Lâm Ký - Hủ Tiếu Bò Viên - Âu Cơ,"243 Âu Cơ, P. 5, Quận 11, TP. HCM",06:00 - 22:15,0 - 0,Quận 11
1510,Thiên Ý - Sủi Cảo Hà Tôn Quyền - Âu Cơ,"203 Âu Cơ, P. 15, Quận 11, TP. HCM",06:30 - 21:20,20.000 - 90.000,Quận 11
1511,Bánh Canh Trảng Bàng - Minh Phụng,"394/1 Minh Phụng, P. 9, Quận 11, TP. HCM",06:50 - 20:00,10.000 - 40.000,Quận 11
1512,Bún Riêu Cô Điệp,"86/174 Ông Ích Khiêm, P. 14, Quận 11, TP. HCM",06:00 - 11:00 | 13:30 - 18:00,25.000 - 35.000,Quận 11
1513,Hủ Tiếu Lợi Đạt,"7 Tân Thành, P. 16, Quận 11, TP. HCM",,36.000 - 50.000,Quận 11
1514,Thế Giới Cua Cà Mau - Không Chi Nhánh - Tôn Thất Hiệp,"304 Tôn Thất Hiệp, P. 12, Quận 11, TP. HCM",00:00 - 23:59,120.000 - 369.000,Quận 11
1515,Bún Thái Cay Aroi - Trần Quý,"52A Trần Quý, P. 6, Quận 11, TP. HCM",07:45 - 22:00,30.000 - 50.000,Quận 11
1516,Bún Thịt Nướng Gỏi Cuốn MK - Bún Thịt Nướng Gỏi Cuốn - Phú Thọ,"25/20/16 Phú Thọ, P. 1, Quận 11, TP. HCM",00:00 - 23:59,0 - 0,Quận 11
1517,Trình Ký - Cơm Gà Xối Mỡ,"339H Lạc Long Quân, P. 5, Quận 11, TP. HCM",08:00 - 20:48,30.000 - 39.000,Quận 11
1518,Bánh Mì Tuấn Mập - Bánh Mì Chảo & Bò Bít Tết - Lãnh Binh Thăng,"116 Lãnh Binh Thăng, Quận 11, TP. HCM",00:00 - 23:59,8.000 - 15.000,Quận 11
1519,Ngọc Lan - Bún Bò Huế,"583 Bình Thới, Quận 11, TP. HCM",,30.000 - 30.000,Quận 11
1520,Baoz Dimsum Restaurant - Lê Đại Hành,"299 Lê Đại Hành, P. 13, Quận 11, TP. HCM",07:00 - 21:00,50.000 - 200.000,Quận 11
